77,42,69,28,1,59,87,41,6,52,30,61,79,93,94,37,51,20,1,86,72,87,91,92,57,95,50,4,44,49,47,6,39,63,1,40,28,79,96,58,58,84,65,94,21,67,24,11,75,87
27,43,51,40,45,64,19,9,52,69,17,43,95,15,99,38,89,74,80,30,45,62,85,65,16,4,60,98,20,18,14,54,52,12,8,95,5,11,49,52,77,28,29,94,84,72,50,70,73,31
25,27,16,83,19,51,88,59,75,63,81,93,46,33,88,65,76,5,23,97,68,39,63,26,33,98,89,64,85,45,43,19,8,86,10,69,23,91,15,67,80,30,78,85,37,97,23,50,50,35
31,74,14,98,31,19,64,39,2,96,42,64,87,47,1,67,22,1,96,86,74,38,55,49,69,97,62,29,55,25,29,86,35,37,80,27,29,16,43,69,49,46,75,5,82,14,34,5,57,13
85,71,16,24,80,95,42,22,72,61,25,20,62,0,97,30,78,81,65,94,43,18,65,96,20,44,24,18,27,85,67,94,7,56,46,86,75,88,42,77,67,76,38,50,62,3,81,4,97,74
63,69,28,36,38,35,73,47,14,56,42,4,64,68,54,47,19,46,17,44,11,38,30,5,86,20,40,64,58,48,84,19,67,18,22,17,37,23,65,7,61,65,6,19,2,45,32,64,64,75
16,51,15,85,91,20,52,80,71,85,60,3,86,5,87,0,48,79,56,34,69,64,60,9,42,10,7,8,2,28,88,76,94,96,86,79,68,57,83,92,26,98,74,58,42,73,93,18,39,80
83,34,52,29,51,99,97,99,38,32,80,69,81,57,98,24,85,76,15,42,33,67,76,61,53,73,8,34,90,80,33,18,70,76,71,19,98,89,4,94,74,17,38,32,62,31,84,67,3,21
60,19,49,2,14,2,19,90,99,35,33,41,43,10,0,88,76,64,47,78,60,79,1,47,72,67,10,61,9,17,28,1,19,92,48,21,73,48,1,91,85,21,3,80,33,52,81,66,78,12
74,54,62,78,83,34,0,11,92,52,81,29,36,21,78,98,30,57,41,15,2,20,15,61,5,72,88,10,98,1,80,32,82,88,71,43,1,44,89,41,56,26,53,63,73,17,95,94,99,97
95,67,7,5,16,35,46,18,92,94,27,11,98,45,88,80,74,81,61,27,39,35,56,25,82,75,54,93,54,54,59,75,72,2,49,59,28,90,99,96,8,58,5,25,60,78,33,20,61,37
94,15,35,37,12,62,69,91,5,71,8,96,7,12,38,17,91,93,39,94,64,16,17,39,30,54,38,21,77,74,51,12,48,47,87,73,57,45,74,94,26,29,48,11,24,97,10,22,90,81
88,70,96,40,24,45,28,73,12,99,92,5,10,14,22,42,50,27,59,33,35,12,10,68,62,86,44,46,92,56,62,20,88,65,30,49,94,16,54,81,65,25,19,38,46,80,57,85,51,0
46,45,60,78,60,81,22,14,29,25,29,71,91,10,67,98,64,29,73,20,7,35,59,87,64,62,95,53,50,14,61,64,37,60,82,55,62,87,24,73,40,6,68,10,98,90,29,97,10,20
2,66,39,16,36,39,15,69,80,37,56,4,67,10,8,66,57,34,57,42,22,33,54,37,12,87,0,82,82,70,43,78,7,81,96,41,8,91,56,61,30,94,55,62,13,91,77,68,67,7
89,84,9,81,56,99,95,76,99,55,38,58,74,76,33,6,24,61,68,26,24,6,69,77,33,78,48,75,44,63,26,60,82,57,2,20,71,47,26,81,73,28,42,39,50,11,70,24,32,26
95,64,79,89,66,53,35,7,90,13,51,54,70,63,55,39,90,74,42,56,57,95,34,19,1,7,16,19,25,28,55,18,6,37,28,53,46,62,22,24,34,13,64,43,59,92,14,71,82,75
30,98,81,31,16,6,57,87,65,10,1,93,60,92,98,65,35,37,45,51,25,68,56,95,43,56,98,72,51,38,66,14,3,77,72,87,54,95,20,29,16,22,37,26,65,92,15,82,38,29
23,97,44,34,31,27,98,28,26,18,9,98,38,50,38,55,81,34,50,12,1,19,12,87,9,23,5,95,74,9,15,50,14,29,61,5,45,98,31,56,51,47,85,88,47,47,59,75,56,14
3,58,28,96,28,29,6,39,13,93,26,24,58,93,13,19,28,86,54,61,10,11,90,57,61,43,50,19,69,66,93,73,72,85,21,40,25,53,64,63,56,99,88,95,81,52,98,26,90,14
33,87,68,48,8,10,10,81,75,40,27,63,84,83,3,16,15,92,39,1,71,71,55,93,29,26,91,50,43,80,4,57,29,29,45,14,86,97,79,75,22,36,34,22,34,65,54,81,34,39
45,0,17,39,2,71,78,87,39,43,88,24,93,99,6,69,93,74,49,76,97,79,11,26,83,36,73,30,13,10,5,46,40,8,49,58,37,77,89,72,13,6,20,64,91,43,28,91,57,58
48,35,5,75,44,14,33,68,15,31,41,96,92,33,81,70,3,86,41,62,86,45,5,40,71,9,91,42,95,66,21,83,62,38,26,99,34,90,57,41,33,87,38,60,12,2,43,12,66,74
49,96,65,97,23,3,22,24,67,68,47,11,71,62,36,5,60,59,61,86,58,86,24,52,64,36,96,21,49,81,23,15,47,95,5,36,96,45,50,40,99,96,41,68,65,2,74,3,65,73
75,0,14,98,58,66,71,29,20,42,22,11,0,49,72,77,52,59,99,29,64,42,2,22,44,4,65,42,82,36,8,41,47,18,70,99,23,9,79,27,56,84,94,40,85,56,6,61,98,28
55,10,88,65,31,73,77,12,4,27,93,47,16,56,6,52,85,93,4,44,36,96,61,44,85,7,27,42,83,96,46,51,89,6,14,52,37,49,5,93,16,48,6,61,87,95,30,36,50,54
26,67,39,25,68,86,19,15,5,89,99,97,81,69,4,70,4,79,67,97,4,47,29,47,40,64,37,33,49,29,66,78,16,17,57,42,63,16,96,73,2,8,0,45,53,76,12,84,27,20
59,56,37,74,55,10,51,76,56,81,15,94,59,59,11,8,60,37,64,18,61,98,23,74,93,19,22,23,83,5,25,59,98,12,67,21,82,22,17,47,19,57,81,64,16,68,2,0,90,0
85,82,31,23,65,67,41,3,92,3,29,95,19,20,47,97,70,10,79,32,13,74,25,84,77,69,91,71,78,30,95,58,53,2,49,13,88,61,11,96,98,25,58,99,15,96,40,19,18,70
33,72,29,74,70,98,28,56,91,85,55,23,48,78,93,60,31,39,14,1,33,12,81,29,91,18,54,67,25,60,79,72,97,17,23,57,51,82,88,85,59,84,99,8,30,71,57,4,11,75
14,92,94,88,10,19,36,44,32,12,56,9,8,33,62,60,11,46,28,41,72,89,83,27,3,79,15,72,63,58,1,43,14,75,90,14,81,59,74,17,49,72,36,19,36,61,13,49,84,4
48,15,57,73,88,6,63,37,17,49,73,54,77,10,29,79,63,5,51,38,71,63,49,43,14,90,52,64,98,31,95,57,31,52,15,49,89,48,87,66,85,63,37,44,95,13,13,82,54,39
4,0,71,63,97,0,49,4,34,63,6,22,1,87,78,27,94,22,22,30,36,94,55,68,27,19,40,93,50,32,38,33,93,75,99,52,64,13,56,5,35,78,77,56,36,39,36,5,25,44
70,27,45,20,86,52,34,93,28,90,84,69,53,26,68,43,21,29,11,62,63,82,83,6,22,75,33,40,9,54,17,44,88,3,86,96,64,29,64,59,78,91,47,33,49,79,38,88,1,56
96,16,55,71,53,0,37,87,48,12,60,44,47,59,50,93,22,64,82,51,70,0,91,15,14,68,35,53,81,15,31,28,79,35,19,68,80,32,60,77,59,31,74,54,67,47,48,5,8,43
36,54,86,62,31,38,33,19,20,12,36,29,86,36,95,81,54,29,97,89,76,81,82,99,4,0,97,15,67,93,33,71,77,59,1,34,74,1,1,42,90,0,55,24,90,23,41,78,68,71
94,91,8,28,18,83,7,8,94,96,89,32,90,15,80,84,57,73,19,94,81,50,38,8,1,75,18,81,82,56,28,51,94,7,63,45,38,63,67,83,23,51,27,44,98,60,67,70,82,71
30,74,0,76,1,75,96,51,88,32,2,35,70,41,57,89,85,31,52,48,70,93,48,23,66,24,27,30,19,25,42,19,30,80,57,20,57,10,18,3,21,78,87,61,18,39,32,88,12,52
23,9,28,97,45,41,36,59,7,46,89,90,19,88,49,58,2,74,96,2,93,94,9,76,14,95,1,96,26,22,64,52,42,49,46,61,8,4,76,74,76,94,42,50,93,36,38,52,56,77
60,45,20,72,83,3,53,88,89,23,21,66,48,10,16,1,57,66,61,66,51,81,50,48,52,16,13,48,18,54,64,73,48,44,90,35,20,6,88,84,21,98,20,66,10,0,87,93,76,87
38,84,69,59,65,7,65,96,37,32,36,17,49,49,14,38,85,2,83,47,49,73,89,44,24,86,50,76,78,6,31,25,41,75,59,30,90,18,83,26,80,20,85,98,28,14,4,12,92,24
82,8,48,28,3,80,52,68,11,41,25,85,17,49,89,68,98,88,2,13,24,77,92,57,30,30,62,25,33,24,54,93,30,40,97,80,57,58,74,96,52,94,17,53,72,90,35,25,1,25
36,13,74,12,92,33,11,26,44,74,63,32,18,67,43,97,48,40,47,58,27,46,34,51,64,47,27,87,44,82,67,11,92,43,11,21,8,81,25,83,94,22,76,61,75,87,14,23,2,79
52,33,3,91,40,89,30,97,66,4,88,10,39,31,50,67,7,34,29,47,13,67,33,20,37,53,89,94,24,91,72,67,59,69,93,27,14,68,11,72,75,38,74,21,39,76,72,90,73,4
44,6,38,65,3,99,0,84,76,81,98,96,70,82,12,71,13,89,33,15,89,75,35,42,4,39,89,72,34,34,6,38,61,93,85,34,36,30,46,46,86,8,61,46,97,80,5,68,86,35
79,39,2,71,88,1,68,15,75,13,10,23,23,46,50,15,75,31,79,64,75,68,47,77,73,26,83,40,92,17,72,55,51,57,32,87,36,16,36,20,35,3,12,56,85,6,30,51,83,46
10,18,4,16,72,86,13,54,99,86,28,20,12,47,22,21,95,19,79,38,67,73,99,21,12,89,47,85,47,99,83,14,7,99,88,61,2,42,16,87,60,41,80,9,5,80,60,45,0,94
21,31,89,85,77,86,1,68,84,32,30,94,36,15,6,36,51,19,56,92,88,83,19,85,27,37,34,47,12,60,82,33,24,56,71,49,45,76,15,60,67,27,63,83,7,27,66,32,36,35
10,77,93,91,89,37,26,79,57,27,13,58,83,44,51,57,57,3,8,52,85,57,10,73,61,74,31,7,67,48,56,51,12,43,17,80,63,72,14,7,30,90,75,15,53,30,55,50,12,41
35,34,59,84,25,49,74,30,16,19,49,48,58,1,19,34,5,40,26,15,84,75,32,37,7,44,35,75,47,26,7,16,71,54,71,24,44,92,65,49,11,48,11,47,67,92,16,39,93,25
